int_no,pred_counts,ranking
793,1.9937510417704818,590
17141,1.993260131606155,591
353,1.9883466457093735,592
1038,1.982988527557343,593
596,1.9750812134423064,594
482,1.9713685618946544,595
1171,1.962409170919827,596
983,1.9603305608383614,597
1684,1.950364252688039,598
5,1.949979080534062,599
17000,1.9434031093240591,600
611,1.9387350224660105,601
1326,1.9340262640846944,602
654,1.9198386836613257,603
1674,1.9187602589222879,604
315,1.9161822749065565,605
287,1.9133313785092052,606
934,1.9120283668391678,607
1307,1.9111347828113252,608
528,1.9092739945431207,609
1166,1.908693687147419,610
1149,1.906939071070326,611
9458,1.9046801151532422,612
166,1.903866006607572,613
17249,1.9029384669062572,614
1301,1.9012333274797824,615
788,1.8983951118147138,616
148,1.898046919830587,617
1180,1.8932904845072498,618
583,1.8906434926013793,619
302,1.8899347905964115,620
823,1.8888909893886654,621
1690,1.887898480204722,622
518,1.8872828738382337,623
16002,1.8809597046364805,624
841,1.8755263462522498,625
1657,1.8716632877688166,626
1262,1.8679277686559397,627
1466,1.8678882822547855,628
1203,1.8637095264746018,629
610,1.8586830087482553,630
98,1.85374859814846,631
1003,1.852965814541935,632
1764,1.8500089680325738,633
590,1.8454577481328278,634
1525,1.844718582598608,635
638,1.8446821908994222,636
1146,1.8427030981917996,637
1260,1.840485089106628,638
54,1.8293362625060516,639
548,1.8247968085033854,640
845,1.8247255738499797,641
1017,1.8245463016897188,642
1036,1.824189403661274,643
9036,1.8209889672402462,644
16914,1.820979042288133,645
855,1.8189484222456886,646
1160,1.816732860506596,647
29,1.81495527942542,648
70,1.8148066086369035,649
1080,1.8101942089560452,650
74,1.8075234133401366,651
1148,1.803417777648635,652
11,1.8011194492694098,653
9016,1.7996386415305363,654
1118,1.7963233113594594,655
11283,1.7960549781039292,656
525,1.7918618770179693,657
403,1.790438603814017,658
714,1.7844465694192664,659
1231,1.7744617921383037,660
504,1.7679150963972712,661
9454,1.767195696649649,662
1024,1.7643020988950773,663
13268,1.7627165797382962,664
1381,1.7549683462407806,665
536,1.753892146783597,666
1766,1.7528221597748683,667
483,1.7507383562227106,668
1194,1.7501495455263638,669
8873,1.7476745696135192,670
835,1.7473262642589924,671
358,1.7442416734562047,672
680,1.7399182811083893,673
465,1.7395327661799316,674
393,1.7287119533771118,675
523,1.7275166513946312,676
689,1.727290598057359,677
1358,1.7272608377642074,678
1229,1.7214659275485773,679
15079,1.7197979806289925,680
9829,1.719550869415079,681
1140,1.7187068275898527,682
687,1.7175828510981657,683
563,1.716996844243282,684
1415,1.7128418562316476,685
216,1.7099246307421971,686
1650,1.7098497272405906,687
795,1.7091427433714763,688
